"track_id","duration_ms","name","popularity","acousticness","danceability","energy","instrumentalness","key","liveness","loudness","mode","speechiness","tempo","time_signature","valence","id"
"2tn5aNweqOO4D4pdjuWsx6",218723,"Spirit of '76",23,0.000942,0.375,0.806,0.0625,7,0.15,-6.437,1,0.0392,157.013,4,0.499,228
"2VI4ugX8X0oHwgVaur05Db",207696,"Sonic Counselor",19,0.00258,0.551,0.936,7.9e-05,4,0.217,-5.991,0,0.0441,97.984,4,0.506,228
"2wBx2zC9LikuwUuiM2ODz8",267748,"Ghoul Wrangler",25,0.0114,0.368,0.868,8.71e-05,9,0.243,-6.385,1,0.0641,177.961,4,0.557,228
"3BtcwPXSrPPT23tjj37XZe",223595,"A Good Fire",19,0.0115,0.472,0.869,0.000107,4,0.336,-6.383,0,0.0406,139.354,4,0.692,228
"4M4Q7unZPhepF3LtpLIEd9",214037,"Hot Bottom Feeder",25,0.00262,0.583,0.803,0.000148,5,0.223,-7.466,0,0.0329,105.047,4,0.608,228
"5prhBKSbmihRLLgIHTjnPE",202993,"Book of Bad Decisions",24,0.00106,0.463,0.8,0.00437,6,0.152,-6.879,0,0.0433,157.073,4,0.773,228
"5zVKzQr5011uXNK96V2Rk7",229181,"In Walks Barbarella",34,0.00189,0.385,0.922,2.44e-05,0,0.106,-4.704,1,0.056,178.014,4,0.541,228
"68rs1IRpXHg7pV9AAV2vcU",348078,"Lorelei",21,0.0893,0.48,0.546,0.111,9,0.0865,-10.831,1,0.0364,82.207,4,0.0561,228
"6biyAFDelaWSrkPxEZHm3W",189283,"Weird Times",20,0.0193,0.496,0.947,1.94e-06,11,0.24,-4.723,0,0.0331,96.019,4,0.598,228
"7es5M6GlIEQDPoQKiA2kRo",305512,"Emily Dickinson",23,0.0846,0.417,0.806,0.0033,0,0.0952,-6.34,1,0.0347,151.996,4,0.601,228
"0OgMUfPcPqvHjEBzzi1xNP",586373,"Rausch 2",19,0.168,0.315,0.262,0.599,1,0.128,-21.502,1,0.0396,110.061,4,0.0553,229
"1s99Mb89b2ka8RTTPhtoVb",583066,"Rausch 5",15,0.154,0.161,0.173,0.612,11,0.112,-24.69,1,0.0415,219.838,4,0.0715,229
"2cZql9HPxQnBdkRFqbNBve",3612804,"Rausch - Continuous Mix",0,0.0439,0.24,0.221,0.691,1,0.589,-22.924,0,0.0377,109.985,4,0.0381,229
"2wCb7DMdozImhVt5hAzul8",475600,"Rausch 6",14,5.34e-05,0.16,0.103,0.809,1,0.112,-25.702,0,0.0353,110.011,4,0.0456,229
"32IPU7KPNethdTMCaBpdQP",811733,"Rausch 3",17,0.0331,0.378,0.259,0.66,5,0.113,-22.848,0,0.0432,109.981,4,0.0553,229
"3aONs0lYW0VL7IYP8YiDGr",302680,"Rausch 4",13,0.145,0.162,0.25,0.648,1,0.118,-23.903,0,0.0435,109.364,4,0.0751,229
"3eqluXIw6SY8zUXnwpAcDR",474000,"Rausch 1",16,0.499,0.16,0.0502,0.824,11,0.0858,-21.811,0,0.0509,110.615,1,0.0677,229
"7DaqC1Ltd1G41V1kBWS3S4",379360,"Rausch 7",13,0.0494,0.367,0.315,0.766,1,0.616,-21.466,0,0.0525,109.871,4,0.0689,229
"2akolI6ILrK2uTR1A373x2",212473,"At War",3,0.0571,0.566,0.448,0,6,0.193,-8.538,0,0.271,95.64,5,0.346,230
"2cSkUAIcUHdZ7YSvfgd3bv",286510,"U-Don't No",13,0.0316,0.518,0.57,0.0136,6,0.103,-9.221,1,0.0654,116.341,3,0.147,230
"2GtLB0CsL5uiFSmGbDT1iX",258239,"Flight 1235 (feat. DJ Phil & Crossfire)",3,0.00675,0.641,0.582,1.31e-05,6,0.373,-8.009,0,0.338,159.976,4,0.475,230
"2v9Q6Lu1KfQBybTxK0HYHO",194157,"Earth's Battle Dance",2,0.00615,0.642,0.46,0.429,7,0.101,-8.453,1,0.0813,120.143,4,0.348,230
"3tPg4wT8g4wZrgFDHhOiSU",165416,"No Body",5,0.0022,0.856,0.361,0.145,9,0.111,-8.155,1,0.117,116.07,3,0.49,230
"3XWdKoQG24FKZSH0VwkdiP",151346,"Wicked'Bu",1,0.164,0.566,0.366,0.743,0,0.103,-11.98,1,0.0679,116.744,3,0.174,230
"4QxRcDS80Esg7vlhKn3P8Q",273558,"Cloudy Back Yard",3,0.000764,0.53,0.42,0.842,6,0.0544,-10.699,0,0.104,155.008,4,0.331,230
