,Id,Name,Artist,Released,RYM Rating,Genres,Descriptors,Language,Track listing,Colorscheme,Ranked,Num_of_RYM_Ratings
0,blink1822019ninine,Nine,Blink-182,20 September 2019,1.86,"Pop Rock, Alternative Rock
Pop Punk, Electropop","male vocals,  energetic,  melodic,  rhythmic,  uplifting,  eclectic",English,"['The First Time', 'Happy Days', 'Heaven', 'Darkside', 'Blame It on My Youth', 'Generational Divide', 'Run Away', 'Black Rain', 'I Really Wish I Hated You', 'Pin the Grenade', 'No Heart to Speak Of', 'Ransom', 'On Some Emo Shit', 'Hungover You', 'Remember to Forget Me']","['#7ff77c', '#fb201e', '#f67071', '#e3afc5', '#fb8ada', '#f64069', '#83511e']",,1811
0,taylorhawkinsthecoattailriders2019getney,Get the Money,Taylor Hawkins & The Coattail Riders,8 November 2019,2.91,"Hard Rock, Art Rock",,English,"['Crossed the Line', ""Don't Look at Me That Way"", 'You’re No Good at Life No More', 'I Really Blew It', 'Queen of the Clowns', 'Get the Money', 'C U in Hell', 'Middle Child', 'Kiss the Ring', 'Shapes of Things']","['#97ae9e', '#5d75a5', '#445a4e', '#99a7ad', '#546172', '#cccccc']",,38
0,boris2019lovvol,LφVE & EVφL,Boris,4 October 2019,3.24,"Drone Metal, Post-Rock
Drone, Post-Metal","atmospheric,  heavy,  male vocals,  noisy,  psychedelic,  hypnotic,  lush,  repetitive,  raw,  epic,  lethargic,  ominous,  dissonant,  dark,  nocturnal,  melancholic,  avant-garde,  passionate,  suspenseful,  surreal,  cold",Japanese,"['LφVE', 'Away From You', 'Coma', 'EVOL', 'EVφL', 'uzume', 'LOVE', 'In the Pain(t)', 'Shadow of Skull']","['#cbcbcb', '#b2b2b2', '#8f9094', '#cacaca', '#a9beb5', '#919191', '#7d5c57', '#ad5d2c', '#e4736b']",#866 for 2019,1449
0,marenmorris2019girirl,GIRL,Maren Morris,8 March 2019,2.84,"Country Pop
Contemporary Country, Contemporary R&B, Pop Rock, Pop Soul","lush,  female vocals,  rhythmic,  love,  bittersweet,  sensual,  eclectic,  anthemic",English,"['GIRL', 'The Feels', 'All My Favorite People', 'A Song for Everything', 'Common', 'Flavor', 'Make Out With Me', 'Gold Love', 'Great Ones', 'RSVP', 'To Hell & Back', 'The Bones', 'Good Woman', 'Shade']","['#c2bab0', '#d6a386', '#ad645d', '#56462d', '#a89996', '#bb9f9a', '#6b7d49']","#1,861 for 2019",260
0,harrynilsson2019losnnd,Losst and Founnd,Harry Nilsson,22 November 2019,3.08,"Singer-Songwriter, Pop Rock
Pop Rock",,English,"['Lost and Found', 'Woman Oh Woman', 'U.C.L.A.', 'Hi-Heel Sneakers / Rescue Boy Medley', 'Lullabye', 'Animal Farm', 'Listen, the Snow Is Falling', 'Try', 'Love Is the Answer', 'Yo Dodger Blue', 'What Does a Woman See in a Man']","['#d9cdb3', '#7b7b7b', '#c2b69e', '#a7a18b']","#2,876 for archival",61
0,frankturner2019nomand,No Man's Land,Frank Turner,16 August 2019,2.88,"Singer-Songwriter, Folk Rock
Folk Punk",,,"[""Jinny Bingham's Ghost"", 'Sister Rosetta', 'I Believed You, William Blake', 'Nica', 'A Perfect Wife', 'Silent Key', 'Eye of the Day', 'The Death of Dora Hand', 'The Graveyard of the Outcast Dead', 'The Lioness', 'The Hymn of Kassiani', 'Rescue Annie', 'Rosemary Jane']","['#85968e', '#235eb8', '#2851ad', '#1186cc', '#0895e7', '#63bfe6', '#5dace5', '#3e8ed5']",,165
0,peterdohertytheputamadres2019petres,Peter Doherty & The Puta Madres,Peter Doherty & The Puta Madres,26 April 2019,3.0,Indie Rock,,English,"['All at Sea', 'Who’s Been Having You Over', 'Paradise is Under Your Nose', 'Narcissistic Teen Makes First XI', 'Someone Else to Be', 'The Steam', 'Travelling Tinker', 'Lamentable Ballad of Gascony Avenue', 'A Fool There Was', 'Shoreleave', 'Punk Buck Bonafide']","['#b1b0b5', '#abcdd6', '#989da3', '#9fbac5', '#88a7b9']",,129
0,sleeper2019theage,The Modern Age,Sleeper,22 March 2019,3.06,"Indie Pop, Britpop, Indie Rock
Power Pop",female vocals,English,"['Paradise Waiting', 'Look at You Now', 'The Sun Also Rises', 'Dig', 'The Modern Age', 'Cellophane', 'Car Into the Sea', 'Blue Like You', 'More Than I Do', 'Big Black Sun']","['#b2b1a3', '#ccc7b8', '#bab8ab', '#9e9f97', '#636359']",,95
0,unkle2019theway,The Road: Part II / Lost Highway,UNKLE,29 March 2019,3.14,"Art Pop
Trip Hop, Ambient Pop",,,"['Iter VI: Prologue', 'Requium (When You Talk About Love)', 'Ar.Mour', 'Iter VII: Lost', 'The Other Side', 'Feel More / With Less', 'Nothing to Give', 'Iter VIII: However Vast the Darkness', 'Long Gone', 'Only You', 'The First Time Ever I Saw Your Face', 'Iter IX: Epilogue / Tales of the City', 'Crucifixion / a Prophet', 'Powder Man', 'Kubrick', 'Sun (The)', 'Find an Outsider', 'Iter X: Found', 'Days and Nights', 'Reprise', 'Iter XI: In Your Arms', 'Touch Me']","['#7a7a7a', '#cccccc']","#1,636 for 2019",211
0,robbierobertson2019sintic,Sinematic,Robbie Robertson,20 September 2019,3.29,"Art Pop
Film Score",,English,"['I Hear You Paint Houses', 'Once Were Brothers', 'Dead End Kid', 'Hardwired', 'Walk in Beauty Way', 'Let Love Reign', 'Shanghai Blues', 'Wandering Souls', 'Street Serenade', 'The Shadow', 'Beautiful Madness', 'Praying for Rain', 'Remembrance']","['#a90a03', '#b4a5bb', '#9595c7', '#010b64', '#864424']",,67
0,l72019scaats,Scatter the Rats,L7,31 May 2019,2.96,"Grunge
Punk Rock, Garage Punk, Riot Grrrl","female vocals,  energetic,  rebellious,  heavy",English,"['Burn Baby', 'Fighting the Crave', 'Proto Prototype', 'Stadium West', 'Murky Water Cafe', 'Ouija Board Lies', 'Garbage Truck', 'Holding Pattern', ""Uppin' the Ice"", 'Cool About Easy', 'Scatter the Rats']","['#7b7f7e', '#868583', '#c0c9c3', '#664941']",,183
0,yeasayer2019erouns,Erotic Reruns,Yeasayer,7 June 2019,2.93,"Indie Pop, Psychedelic Pop
Neo-Psychedelia, Synthpop, New Wave","playful,  male vocals,  quirky,  psychedelic",,"['People I Loved', 'Ecstatic Baby', 'Crack a Smile', 'Blue Skies Dandelions', 'Let Me Listen in on You', ""I'll Kiss You Tonight"", '24-Hour Hateful Live!', 'Ohm Death', 'Fluttering in the Floodlights']","['#967b72', '#98bcdc', '#f0ae98', '#365243']","#1,507 for 2019",384
0,silversunpickups2019wideds,Widow's Weeds,Silversun Pickups,7 June 2019,2.93,"Indie Rock, Alternative Rock
Dream Pop, Progressive Pop","lush,  bittersweet,  melancholic,  introspective,  male vocals,  passionate,  eclectic,  dense,  melodic,  noisy,  atmospheric",English,"['Neon Wound', ""It Doesn't Matter Why"", 'Freakazoid', ""Don't Know Yet"", 'Straw Man', 'Bag of Bones', ""Widow's Weeds"", 'Songbirds', 'Simpatico', 'We Are Chameleons']","['#642f2b', '#b4b6b4', '#aebaba', '#957978', '#8a999c']","#1,514 for 2019",411
0,hozier2019wasaby,"Wasteland, Baby!",Hozier,1 March 2019,2.99,"Pop Soul
Blues Rock, Folk Pop, Singer-Songwriter","male vocals,  passionate,  melodic,  poetic,  spiritual,  love,  conscious,  bittersweet,  rhythmic",English,"['Nina Cried Power', 'Almost (Sweet Music)', 'Movement', 'No Plan', 'Nobody', 'To Noise Making (Sing)', 'As It Was', 'Shrike', 'Talk', 'Be', 'Dinner & Diatribes', 'Would That I', 'Sunlight', 'Wasteland, Baby!']","['#a3b6bd', '#51626a', '#58747f', '#a8b2a9']","#1,349 for 2019",1321
0,ianbrown2019riples,Ripples,Ian Brown,1 February 2019,2.77,"Baggy
Alternative Rock, Neo-Psychedelia","mellow,  male vocals,  eclectic,  uplifting",English,"['First World Problems', 'Black Roses', 'Breathe and Breathe Easy (The Everness of Now)', 'The Dream and the Dreamer', 'From Chaos to Harmony', ""It's Raining Diamonds"", 'Ripples', 'Blue Sky Day', 'Soul Satisfaction', 'Break Down the Walls (Warm Up Jam)']","['#855740', '#b9a793', '#918b8b', '#a1a199', '#c49e49', '#b0b0a6', '#9d9a87', '#868276']",,156
0,marina2019lovear,LOVE + FEAR,MARINA,26 April 2019,2.3,"Electropop
Dance-Pop, Afrobeats, Future Bass, Alt-Pop","bittersweet,  female vocals,  introspective,  sentimental,  love,  optimistic,  melodic,  concept album,  existential","English, Spanish","['LOVE', 'Handmade Heaven', 'Superstar', 'Orange Trees', 'Clean Bandit - Baby', 'Enjoy Your Life', 'True', 'To Be Human', 'End of the Earth', 'FEAR', 'Believe in Love', 'Life Is Strange', 'You', 'Karma', 'Emotional Machine', 'Too Afraid', 'No More Suckers', 'Soft to Be Strong']","['#acacac', '#949494', '#b3b3b3', '#4f5354', '#8f9394']",,1567
0,mabel2019higons,High Expectations,Mabel,2 August 2019,2.65,"Contemporary R&B, Dance-Pop
Afrobeats, Electropop, Dancehall",female vocals,,"['High Expectations (Intro)', 'Bad Behaviour', ""Don't Call Me Up"", 'FML', ""We Don't Say..."", 'Selfish', 'Lucky (Interlude)', 'Mad Love', 'Trouble', 'Put Your Name on It', 'Stckhlm Syndrome (Interlude)', 'OK (Anxiety Anthem)', 'I Belong to Me', 'High Expectations (Outro)', 'Finders Keepers', 'Fine Line', 'Not3s x Mabel - My Lover', 'Jax Jones & Mabel - Ring Ring', 'Raye, Mabel & Stefflon Don - Cigarette', 'Not Sayin']","['#908788', '#6c6c6e', '#0d65c7', '#a0c4c9', '#0048a7', '#124eb0']",,156
0,kaiserchiefs2019ducuck,Duck,Kaiser Chiefs,26 July 2019,2.76,"Pop Rock
Indie Rock",,English,"['People Know How to Love One Another', 'Golden Oldies', 'Wait', 'Target Market', ""Don't Just Stand There, Do Something"", 'Record Collection', 'The Only Ones', 'Lucky Shirt', 'Electric Heart', 'Northern Holiday', 'Kurt vs. Frasier (The Battle for Seattle)']","['#6c8ca3', '#b0a5a9', '#61565e', '#aba6a9', '#a79999']",,210
0,juicewrld2019deaove,Death Race for Love,Juice WRLD,8 March 2019,2.56,"Pop Rap, Emo Rap
Alternative R&B, Trap, Cloud Rap","melodic,  male vocals,  melancholic,  drugs,  love,  breakup,  rhythmic,  sad,  romantic,  alcohol,  repetitive,  improvisation",English,"['Empty', 'Maze', 'HeMotions', 'Demonz (Interlude)', 'Fast', 'Hear Me Calling', 'Big', 'Robbery', 'Flaws and Sins', 'Feeling', 'Syphilis', 'Who Shot Cupid?', 'Ring Ring', 'Desire', 'Out My Way', 'The Bees Knees', 'ON GOD', '10 Feet', ""Won't Let Go"", ""She's the One"", 'Rider', 'Make Believe']","['#7a7a7a', '#b0b0b0', '#5f6064', '#93869a']",,3535
0,lsd2019lablsd,"Labrinth, Sia & Diplo Present... LSD",LSD,12 April 2019,2.65,"Electropop, Contemporary R&B
Future Bass, Pop Soul","psychedelic,  female vocals,  warm,  romantic,  melodic,  playful,  love,  anthemic,  male vocals",English,"['Welcome to the Wonderful World Of', 'Angel in Your Eyes', 'Genius', 'Audio', 'Thunderclouds', 'Mountains', 'No New Friends', 'Heaven Can Wait', ""It's Time"", 'Genius (Lil Wayne Remix)']","['#51b7f7', '#f5a647', '#fbb34f', '#b3802f']",,821
0,djkhaled2019fatahd,Father of Asahd,DJ Khaled,17 May 2019,1.33,"Pop Rap
Contemporary R&B, Trap","female vocals,  sampling,  religious,  male vocals",English,"['Holy Mountain', 'Wish Wish', 'Jealous', 'Just Us', 'You Stay', 'Celebrate', 'Higher', ""Won't Take My Soul"", 'Weather the Storm', 'Big Boy Talk', 'Freak N You', 'Top Off', 'No Brainer', 'Thank You', 'Holy Ground']","['#a9ac81', '#6c5d4a', '#85bc7a', '#c57171']",,1205
