,Name,Artist,Released,RYM Rating,Genres,Descriptors,Language,Track listing,Colorscheme,Num_of_RYM_Ratings
0,Positions,Ariana Grande,30 October 2020,2.81,"Contemporary R&B, Pop
Trap, Pop Soul, Pop Rap","female vocals,  sexual,  sensual,  romantic,  love,  passionate,  soft,  warm,  rhythmic,  melodic,  lush,  longing,  nocturnal,  mellow",English,"['Shut Up', '34+35', 'Motive', 'Just Like Magic', 'Off the Table', 'Six Thirty', 'Safety Net', 'My Hair', 'Nasty', 'West Side', 'Love Language', 'Positions', 'Obvious', 'POV']","['#b1a9a1', '#678d7e', '#7ea092', '#b5b2ab', '#537567']",5651
0,Shiver,Jónsi,2 October 2020,3.23,"Art Pop, Glitch Pop
Ambient Pop, Deconstructed Club, Post-Industrial, Bubblegum Bass","male vocals,  atmospheric,  ethereal,  futuristic,  LGBT,  introspective,  androgynous vocals,  mechanical,  dense,  rhythmic,  eclectic,  surreal",,"['Exhale', 'Shiver', 'Cannibal', 'Wildeye', 'Sumarið sem aldrei kom', 'Kórall', 'Salt Licorice', 'Hold', 'Swill', 'Grenade', 'Beautiful Boy']","['#7c8081', '#9da2a2', '#9fa3a2', '#7b7f80']",931
0,Earth to Dora,Eels,30 October 2020,3.02,"Indie Pop, Indie Rock
Twee Pop, Chamber Pop","melodic,  love,  male vocals,  mellow,  warm,  melancholic",English,"['Anything for Boo', 'Are We Alright Again', 'Who You Say You Are', 'Earth to Dora', 'Dark and Dramatic', 'Are You Fucking Your Ex', 'The Gentle Souls', 'Of Unsent Letters', 'I Got Hurt', 'OK', ""Baby Let's Make It Real"", 'Waking Up']","['#9f351f', '#aaa192', '#792608', '#cfaa76']",391
0,Detroit 2,Big Sean,4 September 2020,2.83,"Pop Rap, Trap
Conscious Hip Hop","male vocals,  boastful,  introspective,  conscious,  sampling,  energetic",English,"['Why Would I Stop?', 'Lucky Me', 'Deep Reverence', 'Wolves', 'Body Language', 'Story by Dave Chappelle', 'Harder Than My Demons', ""Everything That's Missing"", 'ZTFO', 'Guard Your Heart', 'Respect It', 'Lithuania', 'Full Circle', 'TWENTY88 - Time In', 'Story by Erykah Badu', 'Feed', 'The Baddest', 'Don Life', 'Friday Night Cypher', 'Story by Stevie Wonder', 'Still I Rise']","['#605d4c', '#a5a9a8', '#6e8cb2', '#9f8e87', '#b2b2bc']",1640
0,Such Pretty Forks in the Road,Alanis Morissette,31 July 2020,3.09,"Singer-Songwriter, Pop Rock
Pop Rock, Piano Rock, Art Pop","melodic,  mellow,  abstract,  female vocals,  passionate,  introspective,  sentimental,  melancholic,  ballad,  bittersweet",English,"['Smiling', 'Ablaze', 'Reasons I Drink', 'Diagnosis', 'Missing the Miracle', 'Losing the Plot', 'Reckoning', 'Sandbox Love', 'Her', 'Nemesis', 'Pedestal']","['#817f80', '#acacaa', '#4c525e', '#7a7f95', '#5e6883']",481
0,Generations [red splatter vinyl] Peak Vinyl,Will Butler,25 September 2020,,"Indie Rock, Alternative Dance
Indietronica",male vocals,,"['Outta Here', 'Bethlehem', 'Close My Eyes', ""I Don't Know What I Don't Know"", 'Surrender', 'Hide It Away', 'Hard Times', 'Promised', 'Not Gonna Die', 'Fine']","['#b2ac95', '#9f322b', '#c69680', '#c8a891']",
0,THE ALBUM,BLACKPINK,2 October 2020,2.43,"K-Pop, Pop Rap
Electropop, Trap [EDM], Dance-Pop, Contemporary R&B","female vocals,  boastful,  playful,  rhythmic,  anthemic,  energetic,  uplifting,  party,  love","Korean, English","['How You Like That', 'Ice Cream', 'Pretty Savage', 'Bet You Wanna', 'Lovesick Girls', 'Crazy Over You', 'Love to Hate Me', 'You Never Know']","['#8f8488', '#9c9492', '#bfaeb4', '#6e404b']",2990
0,Man on the Moon III: The Chosen,Kid Cudi,11 December 2020,3.16,"Pop Rap, Trap
Neo-Psychedelia, Trap, Art Pop","male vocals,  atmospheric,  nocturnal,  psychedelic,  melodic,  rhythmic,  space,  spiritual,  longing,  introspective,  concept album,  bittersweet,  self-hatred,  futuristic,  melancholic,  anxious,  alcohol",English,"['Act 1: Return 2 Madness', 'Beautiful Trip', 'Tequila Shots', 'Another Day', 'She Knows This', 'Dive', 'Act 2: The Rager, the Menace', 'Damaged', 'Heaven on Earth', 'Show Out', 'Solo Dolo, Pt. III', 'Act 3: Heart of Rose Gold', 'Sad People', ""Elsie's Baby Boy (Flashback)"", 'Sept. 16', 'The Void', ""Lovin' Me"", 'Act 4: Powers', 'The Pale Moonlight', 'Rockstar Knights', '4 Da Kidz', 'Lord I Know']","['#f37454', '#ab427a', '#908ba9', '#ca3e63', '#ba9ab1', '#2b2f5c', '#6774ab', '#645fc5', '#5b8b99', '#6e4c98']",7512
0,"Bing, Bing, Bing!",Charlie Hunter Trio,20 June 1995,3.48,Soul Jazz,,,"['Greasy Granny', ""Wornell's Yorkies"", 'Fistfull of Haggis', 'Come as You Are', 'Scrabbling for Purchase', 'Bullethead', 'Bing, Bing, Bing, Bing', 'Squiddlesticks', 'Lazy Susan (With a Client Now)', 'Elbo Room']","['#c4c2bb', '#a3a1a2', '#7b7a7a', '#585850', '#aeafa9', '#818177']",76
0,Do You Wonder About Me?,Diet Cig,1 May 2020,2.83,"Indie Pop
Indie Rock, Twee Pop, Power Pop",female vocals,English,"['Thriving', 'Who Are You', 'Night Terrors', 'Priority Mail', 'Broken Body', 'Makeout Interlude', 'Flash Flood', 'Worth the Wait', 'Stare into the Sun', 'Night Terrors (Reprise)']","['#208742', '#98b69e', '#ec232d', '#ef7c23']",391
