"","avg_pop","max_pop","min_pop","med_pop","n","id"
"317",24.8333333333333,43,20,22.5,12,2135
"318",12.3333333333333,35,7,9,15,1534
"319",11,24,6,10,20,263
"320",25.375,36,19,22.5,8,862
"321",21.0833333333333,34,16,19.5,12,2011
"322",55.5714285714286,70,44,54,14,2271
"323",59.6363636363636,80,47,58,11,265
"324",58.6428571428571,75,51,57,14,989
"325",47.8333333333333,81,2,44,12,2181
"326",22.6666666666667,33,18,22,9,111
"327",25.5,36,21,24.5,10,2090
"328",63.6153846153846,78,54,65,13,66
"329",32.5,48,22,29,12,1153
"330",19.8,34,14,17.5,10,853
"331",44.4666666666667,52,38,44,15,800
"332",40.5,51,35,39,12,1296
"333",60.5,68,56,59,16,2123
"334",29.4,39,24,27.5,10,2171
"335",49.2142857142857,68,42,47,14,654
"336",42.1818181818182,58,28,45,11,90
"337",41.4545454545455,54,29,45,11,1252
"338",43.3846153846154,58,34,39,13,482
"339",53,63,46,53.5,10,14
"340",41.7272727272727,51,32,43,11,1382
"341",30.4285714285714,40,24,29,7,1574
"342",22.7272727272727,58,11,17,11,796
"343",30.5,37,24,30.5,8,1967
"344",25.8,45,17,22,10,590
"345",34.1111111111111,47,27,32,9,1966
"346",33.5454545454545,48,22,31,11,217
"347",33.6666666666667,43,27,33,12,2121
"348",13,20,7,12.5,10,689
"349",29.0714285714286,38,24,27.5,14,2062
"350",5.4,12,3,4,10,324
"351",10.5,18,6,9.5,12,892
"352",40,73,25,39,20,1674
"353",38.3,52,33,36,20,1032
"354",16.1428571428571,33,0,18.5,14,987
"355",14.3846153846154,32,9,12,13,1769
"356",19.3,29,13,19,10,598
"357",26.9166666666667,43,19,27,12,1704
"358",29.2857142857143,57,20,22,7,1041
"359",43.9,61,31,43,20,995
"360",30.5555555555556,48,20,27,9,238
"361",22.2,39,14,18,10,191
"362",11.9,30,4,7,10,130
"363",39.8461538461538,57,32,37,13,1157
"364",46.8,55,41,46,15,764
"365",49.7272727272727,56,45,51,11,1196
