"avg_pop","max_pop","min_pop","med_pop","n","id"
9.23076923076923,26,4,7,13,"munciegirls2018fixals"
47.3333333333333,60,40,47,9,"thecarters2018eveove"
44.7272727272727,57,37,46,11,"ericchurch2018desman"
23.3333333333333,34,15,21,9,"whitedenim2018pernce"
29.8888888888889,43,23,28,9,"tropicalfuckstorm2018alaace"
15.3333333333333,18,13,15.5,6,"thefield2018infent"
43.2727272727273,71,34,38,11,"mattmaltese2018badant"
18.9473684210526,35,13,16,19,"goatgirl2018goairl"
13.4210526315789,41,4,10,19,"dabrye2018thrree"
2.125,10,0,1,16,"djtaye2018stipin"
32.3333333333333,46,21,30,9,"phosphorescent2018cesvie"
20.5,37,13,19,6,"pigspigspigspigspigspigspigs2018kinrds"
42.1538461538462,54,34,41,13,"stvincent2018mas018"
28.6363636363636,47,19,28,11,"gazcoombes2018worman"
20.3,41,14,18,10,"cutworms2018holund"
6.42857142857143,19,0,4.5,14,"gabegurnsey2018phycal"
28.1666666666667,45,21,27,12,"marmozets2018knonow"
64.7692307692308,81,58,61,13,"lilpeep2018compt2"
0.8,4,0,0,10,"aidanmoffat2018herody"
33.5454545454545,48,22,31,11,"catpower2018wanrer"
6.3,19,3,4.5,10,"wayneshorter2018emanon"
13.75,18,9,14,8,"cloudnothings2018lasing"
46.4545454545455,58,39,46,11,"colterwall2018sonins"
4.54545454545455,10,1,4,11,"aïshadevi2018dnangs"
10.2727272727273,22,6,8,11,"speedyortiz2018twerse"
14.1,25,9,11.5,10,"courtneymarieandrews2018mayain"
11.9166666666667,29,0,9.5,12,"israelnash2018lifted"
19,36,12,15,9,"guerillatoss2018twital"
24.6363636363636,37,19,23,11,"ohsees2018smoser"
13.7,24,8,12.5,10,"flasher2018conage"
23.0666666666667,34,18,23,15,"clutch2018booons"
13.375,19,0,14.5,8,"gas2018rausch"
3.58333333333333,13,1,3,12,"rpboo2018illhat"
29.3636363636364,40,22,30,11,"confidenceman2018conple"
41.6,46,35,41.5,10,"cher2018daneen"
9.53333333333333,14,4,10,15,"novelist2018novguy"
20.25,30,15,18.5,12,"pigdestroyer2018heaage"
4.90909090909091,9,3,4,11,"thespookschool2018couent"
36.9,54,28,35.5,10,"foxwarren2018foxren"
6.2,12,3,5.5,10,"johngrant2018lovgic"
30.5555555555556,48,20,27,9,"charlesbradley2018blavet"
10.8461538461538,38,4,8,13,"missred2018koko"
39.9,84,3,51,20,"ladygaga2018astack"
6.7,19,3,5,10,"thelastpoets2018undkis"
30.5714285714286,36,26,30,7,"deadcandance2018diosus"
3.44444444444444,7,2,2,9,"xylouriswhite2018mother"
1.4,4,0,1,10,"tremblingbells2018duness"
48.7,55,42,49.5,10,"khruangbin2018conndo"
35,49,24,33,13,"kurtvile2018bottin"
69.3846153846154,79,61,70,13,"macmiller2018swiing"
15.7272727272727,33,10,14,11,"dorianconcept2018theion"
13.1666666666667,15,11,13,6,"megbaird2018ghosts"
15.2727272727273,35,8,12,11,"sunflowerbean2018twelue"
20.2,32,15,19.5,10,"thesoftmoon2018crinal"
3.08333333333333,9,2,2,12,"grantleephillips2018widins"
27.7777777777778,38,21,27,9,"gogopenguin2018ahutar"
